,rank,rating,movie,year,revenue
0,3,9.0,The Dark Knight,2008,1006234167
1,7,8.9,The Lord of the Rings: The Return of the King,2003,1146436214
2,9,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,898146964
3,11,8.8,Forrest Gump,1994,678226465
4,13,8.7,Inception,2010,836848102
5,14,8.7,The Lord of the Rings: The Two Towers,2002,947896241
6,26,8.6,Interstellar,2014,716218351
7,36,8.5,The Lion King,2019,1663250487
8,36,8.5,The Lion King,1994,1063611805
9,63,8.4,Avengers: Infinity War,2018,2048359754
10,69,8.3,The Dark Knight Rises,2012,1081153097
11,71,8.3,Top Gun: Maverick,2022,1476420739
12,72,8.3,Joker,2019,1074445730
13,77,8.3,Coco,2017,807817888
14,80,8.3,Avengers: Endgame,2019,2797501328
15,85,8.3,Toy Story 3,2010,1066970811
16,113,8.2,Up,2009,735099102
17,139,8.2,Spider-Man: No Way Home,2021,1916044248
18,142,8.2,The Sixth Sense,1999,672806432
19,148,8.1,Jurassic Park,1993,1109802321
20,153,8.1,Finding Nemo,2003,940352645
21,160,8.1,Inside Out,2015,858848019
22,184,8.1,Harry Potter and the Deathly Hallows: Part 2,2011,1342359942
