rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
1,Avatar,"$2,923,706,026","$785,221,649",26.9%,"$2,138,484,377",73.1%,2009
2,Avengers: Endgame,"$2,799,439,100","$858,373,000",30.7%,"$1,941,066,100",69.3%,2019
3,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%,2022
4,Titanic,"$2,264,750,694","$674,292,608",29.8%,"$1,590,458,086",70.2%,1997
5,Star Wars: Episode VII - The Force Awakens,"$2,071,310,218","$936,662,225",45.2%,"$1,134,647,993",54.8%,2015
6,Avengers: Infinity War,"$2,052,415,039","$678,815,482",33.1%,"$1,373,599,557",66.9%,2018
7,Spider-Man: No Way Home,"$1,952,732,181","$814,866,759",41.7%,"$1,137,865,422",58.3%,2021
8,Inside Out 2,"$1,698,863,816","$652,980,194",38.4%,"$1,045,883,622",61.6%,2024
9,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015
10,The Lion King,"$1,662,020,819","$543,638,043",32.7%,"$1,118,382,776",67.3%,2019
11,The Avengers,"$1,520,538,536","$623,357,910",41%,"$897,180,626",59%,2012
12,Furious 7,"$1,515,342,457","$353,007,020",23.3%,"$1,162,335,437",76.7%,2015
13,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48%,"$776,963,471",52%,2022
14,Frozen II,"$1,453,683,476","$477,373,578",32.8%,"$976,309,898",67.2%,2019
15,Barbie,"$1,447,038,421","$636,238,421",44%,"$810,800,000",56%,2023
16,Avengers: Age of Ultron,"$1,405,018,048","$459,005,868",32.7%,"$946,012,180",67.3%,2015
17,The Super Mario Bros. Movie,"$1,360,847,665","$574,934,330",42.2%,"$785,913,335",57.8%,2023
18,Black Panther,"$1,349,926,083","$700,426,566",51.9%,"$649,499,517",48.1%,2018
19,Harry Potter and the Deathly Hallows: Part 2,"$1,342,499,744","$381,447,587",28.4%,"$961,052,157",71.6%,2011
20,Deadpool & Wolverine,"$1,338,073,645","$636,745,858",47.6%,"$701,327,787",52.4%,2024
21,Star Wars: Episode VIII - The Last Jedi,"$1,334,407,706","$620,181,382",46.5%,"$714,226,324",53.5%,2017
22,Jurassic World: Fallen Kingdom,"$1,310,469,037","$417,719,760",31.9%,"$892,749,277",68.1%,2018
23,Frozen,"$1,306,450,154","$400,953,009",30.7%,"$905,497,145",69.3%,2013
24,Iron Man 3,"$1,266,152,644","$409,013,994",32.3%,"$857,138,650",67.7%,2013
25,Beauty and the Beast,"$1,266,115,964","$504,481,165",39.8%,"$761,634,799",60.2%,2017
26,Incredibles 2,"$1,243,225,667","$608,581,744",49%,"$634,643,923",51%,2018
27,The Fate of the Furious,"$1,236,009,236","$226,008,385",18.3%,"$1,010,000,851",81.7%,2017
28,Minions,"$1,159,457,503","$336,045,770",29%,"$823,411,733",71%,2015
29,Captain America: Civil War,"$1,155,046,416","$408,084,349",35.3%,"$746,962,067",64.7%,2016
30,Aquaman,"$1,152,028,393","$335,104,314",29.1%,"$816,924,079",70.9%,2018
31,The Lord of the Rings: The Return of the King,"$1,138,267,561","$381,878,219",33.6%,"$756,389,342",66.4%,2003
32,Spider-Man: Far from Home,"$1,132,705,055","$391,283,774",34.5%,"$741,421,281",65.5%,2019
33,Captain Marvel,"$1,131,416,446","$426,829,839",37.7%,"$704,586,607",62.3%,2019
34,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011
35,The Dark Knight Rises,"$1,114,976,407","$448,149,584",40.2%,"$666,826,823",59.8%,2012
36,Skyfall,"$1,108,594,137","$304,360,277",27.4%,"$804,233,860",72.6%,2012
37,Transformers: Age of Extinction,"$1,105,261,713","$245,439,076",22.2%,"$859,822,637",77.8%,2014
38,Jurassic Park,"$1,104,379,926","$407,185,075",36.9%,"$697,194,851",63.1%,1993
39,Joker,"$1,078,958,629","$335,477,657",31.1%,"$743,480,972",68.9%,2019
40,Star Wars: Episode IX - The Rise of Skywalker,"$1,077,022,372","$515,202,542",47.8%,"$561,819,830",52.2%,2019
41,Toy Story 4,"$1,073,841,394","$434,038,008",40.4%,"$639,803,386",59.6%,2019
42,Toy Story 3,"$1,067,316,101","$415,004,880",38.9%,"$652,311,221",61.1%,2010
43,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747","$423,315,812",39.7%,"$642,863,935",60.3%,2006
44,Rogue One: A Star Wars Story,"$1,058,684,742","$533,539,991",50.4%,"$525,144,751",49.6%,2016
45,Aladdin,"$1,054,304,000","$355,559,216",33.7%,"$698,744,784",66.3%,2019
46,Pirates of the Caribbean: On Stranger Tides,"$1,046,721,266","$241,071,802",23%,"$805,649,464",77%,2011
47,Star Wars: Episode I - The Phantom Menace,"$1,046,515,409","$487,576,624",46.6%,"$558,938,785",53.4%,1999
48,Despicable Me 3,"$1,034,800,131","$264,624,300",25.6%,"$770,175,831",74.4%,2017
49,Finding Dory,"$1,029,266,989","$486,295,561",47.2%,"$542,971,428",52.8%,2016
50,Moana 2,"$1,026,899,678","$450,182,382",43.8%,"$576,717,296",56.2%,2024
51,Harry Potter and the Sorcerer's Stone,"$1,026,414,475","$318,886,962",31.1%,"$707,527,513",68.9%,2001
52,Zootopia,"$1,025,521,689","$341,268,248",33.3%,"$684,253,441",66.7%,2016
53,Alice in Wonderland,"$1,025,468,216","$334,191,110",32.6%,"$691,277,106",67.4%,2010
54,The Hobbit: An Unexpected Journey,"$1,017,107,150","$303,030,651",29.8%,"$714,076,499",70.2%,2012
55,The Dark Knight,"$1,009,057,329","$534,987,076",53%,"$474,070,253",47%,2008
56,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%,2022
57,The Lion King,"$979,161,373","$424,979,720",43.4%,"$554,181,653",56.6%,1994
58,Oppenheimer,"$975,594,978","$329,862,540",33.8%,"$645,732,438",66.2%,2023
59,Harry Potter and the Deathly Hallows: Part 1,"$974,919,063","$296,374,621",30.4%,"$678,544,442",69.6%,2010
60,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013
61,Despicable Me 4,"$969,126,452","$361,004,205",37.2%,"$608,122,247",62.8%,2024
62,The Jungle Book,"$967,724,775","$364,001,123",37.6%,"$603,723,652",62.4%,2016
63,Jumanji: Welcome to the Jungle,"$962,544,585","$404,540,171",42%,"$558,004,414",58%,2017
